Date,Channel Order ID,Channel,Ali Order ID,Cost
09/02/2026,23-15084-67204,CC eBay,3076399269920161,£8.81
09/02/2026,08-15111-76642,CC eBay,3075957697460161,£3.17
09/02/2026,25-15081-79297,CC eBay,3076255577190161,4.99
09/02/2026,12-15105-38079,CC eBay,3076122921330161,£3.89
09/02/2026,27-15078-52328,CC eBay,3075989387250161,£11.98
09/02/2026,23-15085-91989,CC eBay,3076109310530161,£1.64
09/03/2026,21-15089-78718,CC eBay,3076013145880161,£6.39
09/03/2026,15-15100-89128,CC eBay,3076569912210161,£2.63
09/03/2026,22-15088-49544,CC eBay,3076133232140161,£5.79
09/03/2026,01-15128-37732,CC eBay,3076133232140161,£5.79
09/03/2026,05-15119-99311,CC eBay,3076281255410161,£2.97
09/03/2026,25-15083-36743,CC eBay,3076570233740161,£5.99
09/03/2026,01-15128-72271,CC eBay,3076133317420161,£5.02
09/03/2026,11-15108-87899,CC eBay,3076014103330161,£2.59
09/03/2026,09-15113-07177,CC eBay,3076424620700161,£5.79
09/03/2026,07-15116-96094,CC eBay,3076424704930161,£5.69
09/03/2026,13-15106-32440,CC eBay,3076425022270161,£2.79
09/03/2026,20-15094-97561,CC eBay,3076148682080161,£6.05
09/03/2026,07-15119-55274,CC eBay,3075981537910161,£9.09
09/03/2026,15-15104-82008,CC eBay,3076134672030161,£3.43
09/03/2026,21-15093-87388,CC eBay,3075982254840161,£4.93
09/03/2026,24-15103-62345,CC eBay,3075982176880161,£3.22
09/03/2026,01-15132-70756,CC eBay,3076571674950161,£6.05
09/03/2026,22-15093-30701,CC eBay,3076282859420161,£6.49
